angle Day
0.0 0.0
1.0 0.041666666666666664
158.11735071191796 0.08333333333333333
148.2447504438418 0.125
136.94114041847232 0.16666666666666666
113.1858275638062 0.20833333333333334
126.77630684663953 0.25
146.8807381264542 0.2916666666666667
142.45933996502706 0.3333333333333333
34.387577500096654 0.375
48.073633968511736 0.4166666666666667
2.4821975445054365 0.4583333333333333
128.93763621027625 0.5
102.21147482645573 0.5416666666666666
90.97369806979731 0.5833333333333334
118.42097715469285 0.625
46.14214379335092 0.6666666666666666
25.949439536405137 0.7083333333333334
28.295018654316696 0.75
28.13850794646146 0.7916666666666666
52.57373982168924 0.8333333333333334
112.94188145070127 0.875
91.46808680318635 0.9166666666666666
52.93437181646184 0.9583333333333334
66.32093944031661 1.0
69.46965372577372 1.0416666666666667
18.507231874386193 1.0833333333333333
15.270355592138936 1.125
16.004831063363195 1.1666666666666667
19.880563685316577 1.2083333333333333
18.500024608755382 1.25
39.74220995206905 1.2916666666666667
19.469058961319003 1.3333333333333333
54.6128951813506 1.375
54.6128951813506 1.4166666666666667
80.95484531202803 1.4583333333333333
154.4551974136049 1.5
8.366776964920016 1.5416666666666667
75.40946653276738 1.5833333333333333
30.26558974861986 1.625
122.67168327948039 1.6666666666666667
157.03395386660992 1.7083333333333333
139.6408369138149 1.75
136.1207397369923 1.7916666666666667
139.75059145891728 1.8333333333333333
152.26363791146468 1.875
163.2071060816603 1.9166666666666667
23.21782931467044 1.9583333333333333
23.21782931467044 2.0
23.21782931467044 2.0416666666666665
23.21782931467044 2.0833333333333335
23.21782931467044 2.125
23.21782931467044 2.1666666666666665
23.21782931467044 2.2083333333333335
23.21782931467044 2.25
23.21782931467044 2.2916666666666665
23.21782931467044 2.3333333333333335
59.07971674057492 2.375
81.61142047703646 2.4166666666666665
68.27636399640443 2.4583333333333335
95.61333647931647 2.5
99.21548107420747 2.5416666666666665
149.45767127827992 2.5833333333333335
145.84875359681325 2.625
130.0064854740017 2.6666666666666665
130.994842923506 2.7083333333333335
148.66430342318375 2.75
121.57060543781382 2.7916666666666665
152.75820341256812 2.8333333333333335
163.62318547404385 2.875
161.54763232599356 2.9166666666666665
166.68298187627246 2.9583333333333335
161.15155988903422 3.0
158.95221178565123 3.0416666666666665
160.5175308131749 3.0833333333333335
158.97284295546154 3.125
151.42635688029225 3.1666666666666665
164.70231051639615 3.2083333333333335
-15.435470585557937 3.25
-129.07141324380737 3.2916666666666665
-128.61426003746664 3.3333333333333335
-136.60963214451755 3.375
-80.98119191607205 3.4166666666666665
-116.68455942525604 3.4583333333333335
-122.50931250032907 3.5
-127.01121161085351 3.5416666666666665
-96.13409424329674 3.5833333333333335
-122.59674079985211 3.625
-84.96125848234979 3.6666666666666665
-117.92521782484941 3.7083333333333335
-119.35461795477818 3.75
-138.41491226848575 3.7916666666666665
-91.95886169930851 3.8333333333333335
-0.11947352567103167 3.875
-0.11947352567103167 3.9166666666666665
-0.11947352567103167 3.9583333333333335
-0.11947352567103167 4.0
-0.11947352567103167 4.041666666666667
-0.11947352567103167 4.083333333333333
-0.11947352567103167 4.125
-0.11947352567103167 4.166666666666667
-0.11947352567103167 4.208333333333333
-0.11947352567103167 4.25
-0.11947352567103167 4.291666666666667
-0.11947352567103167 4.333333333333333
-0.11947352567103167 4.375
-0.11947352567103167 4.416666666666667
-0.11947352567103167 4.458333333333333
-0.11947352567103167 4.5
-0.11947352567103167 4.541666666666667
-0.11947352567103167 4.583333333333333
-0.11947352567103167 4.625
-0.11947352567103167 4.666666666666667
-0.11947352567103167 4.708333333333333
151.28781655833743 4.75
126.55822733083157 4.791666666666667
113.14951485918547 4.833333333333333
133.42722610525163 4.875
135.67479677300244 4.916666666666667
136.18767529280635 4.958333333333333
28.57836302310663 5.0
28.57836302310663 5.041666666666667
142.05548342130663 5.083333333333333
137.37438876300675 5.125
139.88045382886395 5.166666666666667
125.54708035879005 5.208333333333333
132.54530585130732 5.25
102.72440106699274 5.291666666666667
114.68633015837266 5.333333333333333
98.64963756289306 5.375
75.62419436757429 5.416666666666667
91.68550454609364 5.458333333333333
78.07262986492148 5.5
89.73520769411897 5.541666666666667
66.50691675065497 5.583333333333333
63.7654437702789 5.625
41.061934670555 5.666666666666667
70.72756525700039 5.708333333333333
62.87763691305646 5.75
62.87763691305646 5.791666666666667
62.87763691305646 5.833333333333333
62.87763691305646 5.875
62.87763691305646 5.916666666666667
131.59440776630524 5.958333333333333
124.27057408478909 6.0
124.86851936640758 6.041666666666667
117.56157936400824 6.083333333333333
122.01873385266683 6.125
116.36265311216967 6.166666666666667
109.25349439299127 6.208333333333333
106.51958346841643 6.25
45.85606181983908 6.291666666666667
53.04500403999548 6.333333333333333
-33.28628052868866 6.375
-136.05459900379256 6.416666666666667
-126.75035156619143 6.458333333333333
-128.63348595868482 6.5
-124.73757138845127 6.541666666666667
-123.89842926597494 6.583333333333333
-126.06570995054538 6.625
-127.3616998125774 6.666666666666667
-125.33549071438863 6.708333333333333
-119.95125798164868 6.75
-100.77133061705072 6.791666666666667
-85.6731984741352 6.833333333333333
-45.06847461600518 6.875
-45.06847461600518 6.916666666666667
-45.06847461600518 6.958333333333333
-45.06847461600518 7.0
-45.06847461600518 7.041666666666667
-45.06847461600518 7.083333333333333
-45.06847461600518 7.125
-149.17415071571534 7.166666666666667
-55.765411800901184 7.208333333333333
-71.58455165284417 7.25
-99.97722267935545 7.291666666666667
-58.72525472434586 7.333333333333333
-45.74234720549896 7.375
-19.441361284593295 7.416666666666667
-54.556148608111585 7.458333333333333
-55.55947626317488 7.5
