  2   4.479167 11.500000       -0.948        1.000        0.149        1.458     3600
  2   4.520833 12.500000       -0.408        0.915        0.557        1.242     3600
  2   4.562500 13.500000       -0.147        1.167        0.542        1.488     3600
  2   4.604167 14.500000       -0.564        1.078        0.372        1.293     3600
  2   4.645833 15.500000       -0.442        1.102        0.501        1.311     3600
  2   4.687500 16.500000       -0.337        1.081        0.643        1.320     3600
  2   4.729167 17.500000       -0.298        1.047        0.633        1.287     3600
  2   4.770833 18.500000       -0.121        1.117        0.544        1.258     2611
  2   4.812500 19.500000       -0.235        1.196        0.766        1.443     1736
  2   4.854167 20.500000        0.022        1.077        0.738        1.323     1800
  2   4.895833 21.500000       -0.065        1.275        0.827        1.531     1800
  2   4.937500 22.500000        0.169        1.324        1.015        1.698     1800
  2   4.979167 23.500000       -0.289        1.420        0.885        1.735     1799
  2   5.020833  0.500000       -0.963        1.222        0.509        1.651     1800
  2   5.062500  1.500000       -0.859        1.393        0.653        1.772     1800
  2   5.104167  2.500000       -1.114        1.206        0.280        1.741     1800
  2   5.145833  3.500000       -1.004        1.196        0.481        1.642     1800
  2   5.187500  4.500000       -1.076        1.218        0.253        1.659     1800
  2   5.229167  5.500000       -1.185        1.159        0.186        1.671     1800
  2   5.270833  6.500000       -1.147        1.131        0.299        1.640     1800
  2   5.312500  7.500000       -1.101        1.140        0.091        1.607     1730
  2   5.354167  8.500000       -1.095        1.114        0.122        1.580     1800
  2   5.395833  9.500000       -1.184        0.862       -0.065        1.481     1800
  2   5.437500 10.500000       -0.062        1.170        0.374        1.264     1800
  2   5.479167 11.500000       -0.265        0.754        0.115        1.068     1800
  2   5.520833 12.500000        1.279       -0.016        0.504        1.415     1800
  2   5.562500 13.500000        1.589       -0.478        0.514        1.774     1800
  2   5.604167 14.500000        1.833        0.058        0.766        1.995     2147
  2   5.645833 15.500000        1.598        0.211        0.753        1.797     3376
  2   5.687500 16.500000        1.740        0.000        0.466        1.806     3248
  2   5.729167 17.500000        1.477        0.528        0.469        1.672     3600
  2   5.770833 18.500000        1.560        0.054        0.480        1.673     3600
  2   5.812500 19.500000        1.486       -0.592        0.350        1.711     3562
  2   5.854167 20.500000        1.313       -0.602        0.633        1.641     3600
  2   5.895833 21.500000        1.439       -0.399        0.458        1.609     3600
  2   5.937500 22.500000        1.476       -0.313        0.806        1.738     3599
  2   5.979167 23.500000        1.077       -0.171        0.589        1.313     3600
  2   6.020833  0.500000        1.453        0.339       -0.049        1.558     3600
  2   6.062500  1.500000        1.151       -0.229        0.070        1.395     2876
  2   6.104167  2.500000       -0.062        0.244       -0.507        1.691     1800
  2   6.145833  3.500000       -1.695       -0.097       -1.361        2.273     2057
  2   6.187500  4.500000       -0.472        0.391       -0.998        1.780     3598
  2   6.229167  5.500000        0.901       -0.281        1.221        1.585     3465
  2   6.270833  6.500000        0.712       -0.784        1.326        1.792     3511
  2   6.312500  7.500000        1.149       -1.827        1.498        2.804     3600
  2   6.354167  8.500000       -0.707       -1.047       -0.295        2.331     3600
  2   6.395833  9.500000        0.715       -2.929        0.263        3.102     3600
  2   6.437500 10.500000       -0.565       -3.378       -0.651        3.510     3376
  2   6.479167 11.500000       -0.876       -2.978       -0.862        3.252     3600
  2   6.520833 12.500000       -0.903       -3.202       -0.796        3.436     3332
  2   6.562500 13.500000       -1.058       -3.400       -0.677        3.636     1800
  2   6.604167 14.500000       -1.347       -2.735       -1.070        3.440     1800
  2   6.645833 15.500000       -2.422       -1.650       -1.367        3.334     1800
  2   6.687500 16.500000       -2.381       -1.174       -1.545        3.214     1800
  2   6.729167 17.500000       -2.677        0.293       -1.155        3.045     1800
  2   6.770833 18.500000       -1.805        1.850       -0.547        2.708     1800
  2   6.812500 19.500000        0.075        2.365        0.460        2.723     1800
  2   6.854167 20.500000        2.440        1.983        0.696        3.235     1799
  2   6.895833 21.500000        0.173        1.289       -0.254        2.593     1800
  2   6.937500 22.500000        0.639        2.020        0.491        2.302     1800
  2   6.979167 23.500000       -0.801        2.003        0.169        2.218     1800
  2   7.020833  0.500000       -0.534        1.571        0.000        1.799     1800
  2   7.062500  1.500000        0.465        1.485       -0.480        1.925     1800
  2   7.104167  2.500000       -0.424        1.891       -0.757        2.168     1800
  2   7.145833  3.500000       -1.094        1.800       -0.730        2.297     1800
  2   7.187500  4.500000       -1.309        1.673       -0.895        2.374     1800
  2   7.229167  5.500000       -1.305        1.927       -1.018        2.783     1800
  2   7.270833  6.500000       -1.275        2.391       -1.838        3.389     1800
  2   7.312500  7.500000       -2.497        0.391       -0.700        2.836     3178
  2   7.354167  8.500000        0.451       -1.603        0.330        1.880     3600
  2   7.395833  9.500000        1.119       -1.534        0.530        2.177     2877
  2   7.437500 10.500000        0.998       -1.919        0.242        2.436     1800
  2   7.479167 11.500000       -0.302        0.471       -0.275        1.784     1800
  2   7.520833 12.500000        0.374       -0.012       -0.178        2.156     1800
  2   7.562500 13.500000       -0.861        0.595       -0.442        2.513     1800
