Year,,,,,,,
91,4.9375,22.5,3.474,-1.434,-0.724,3.901,3600
91,4.979167,23.5,2.609,-2.647,0.285,3.767,3600
91,5.020833,0.5,3.043,-2.369,0.08,3.884,3600
91,5.0625,1.5,2.911,-2.68,0.542,4.031,3600
91,5.104167,2.5,2.795,-2.601,1.044,3.967,3600
91,5.145833,3.5,2.694,-2.599,1.311,3.994,3600
91,5.1875,4.5,2.638,-2.486,1.382,3.898,3600
91,5.229167,5.5,2.336,-2.467,1.868,3.902,3296
91,5.270833,6.5,2.255,-2.354,2.128,3.903,1628
91,5.3125,7.5,2.318,-2.195,1.896,3.731,1800
91,5.354167,8.5,1.689,-1.971,2.488,3.652,1800
91,5.395833,9.5,1.77,-1.879,2.556,3.654,1800
91,5.4375,10.5,1.651,-1.709,2.58,3.512,539
91,5.479167,11.5,1.235,-1.729,-1.539,3.529,2855
91,5.520833,12.5,1.057,-1.507,-2.99,3.537,3343
91,5.5625,13.5,1.076,-1.881,-2.483,3.372,3600
91,5.604167,14.5,1.276,-2.202,-1.794,3.167,3160
91,5.645833,15.5,1.571,-2.733,-0.94,3.295,1992
91,5.6875,16.5,1.358,-2.815,-0.149,3.269,3599
91,5.729167,17.5,0.549,-2.896,-0.354,3.193,2544
91,5.770833,18.5,1.521,-2.581,0.397,3.134,1800
91,5.8125,19.5,1.625,-2.045,-1.885,3.271,1800
91,5.854167,20.5,1.48,-2.07,-1.469,3.258,1800
91,5.895833,21.5,1.341,-2.675,-0.87,3.227,1800
91,5.9375,22.5,1.366,-1.812,-2.452,3.429,1800
91,5.979167,23.5,1.038,-1.999,-2.655,3.568,1800
91,6.020833,0.5,0.445,-3.356,-1.779,3.916,1800
91,6.0625,1.5,1.365,-3.015,-3.074,4.584,1800
91,6.104167,2.5,1.275,-3.327,-3.083,4.722,1800
91,6.145833,3.5,1.359,-2.862,-3.529,4.752,1800
91,6.1875,4.5,1.157,-2.88,-2.956,4.433,1799
91,6.229167,5.5,1.213,-1.362,-4.131,4.681,1800
91,6.270833,6.5,1.434,-3.557,-2.826,4.926,1640
91,6.3125,7.5,2.149,-3.762,-2.35,4.961,1800
91,6.354167,8.5,3.281,-3.519,-0.49,4.955,1800
91,6.395833,9.5,1.285,-3.18,-1.857,4.813,1800
91,6.4375,10.5,1.591,-2.605,-3.898,4.977,1389
91,6.479167,11.5,1.497,-3.616,-2.109,4.55,1030
91,6.520833,12.5,1.333,-3.604,-1.273,4.195,3568
91,6.5625,13.5,1.407,-3.466,-1.354,4.044,3279
91,6.604167,14.5,1.134,-2.351,2.226,4.027,3600
91,6.645833,15.5,1.158,-2.925,2.068,3.887,3600
91,6.6875,16.5,1.323,-3.506,0.166,3.818,3599
91,6.729167,17.5,1.375,-3.42,1.297,4.043,2396
91,6.770833,18.5,1.344,-2.972,2.115,3.988,1663
91,6.8125,19.5,1.663,-2.177,1.569,4.091,841
91,6.854167,20.5,0.521,-2.099,1.927,4.17,3191
91,6.895833,21.5,0.254,-3.439,2.552,4.459,3150
91,6.9375,22.5,1.06,-3.348,1.939,4.281,3600
91,6.979167,23.5,1.51,-3.788,-0.441,4.252,3600
91,7.020833,0.5,0.797,-2.892,-1.029,3.243,3376
91,7.0625,1.5,0.836,-2.234,-0.866,2.602,3600
