DOY,HOUR,MIN,Year,SEC,MSEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
1.0,0.0,29.5,2012.0,29.016666666666666,889.8333333333334,1.0208322577666666,2.1249999999999996,-2.7445,-0.1456666666666667,0.0,240412774.08333334,-7.458000000000011,0.8250000000000007,1.6070372599153304,5.487886288309818,5.487886288309818,5.6103682205388345,58.36341273453465,-52.753044513995796,5.6103682205388345
1.0,1.0,29.5,2012.0,29.0,897.5666666666667,1.0624988201833334,0.28450000000000014,-0.7831666666666673,0.4901666666666667,0.0,240445520.59,-7.458000000000011,0.8250000000000007,1.6072561536764713,0.7345433561411817,5.795599640836914,66.62362963924804,58.36689760717802,8.256732032070017,-23.376370360751956
1.0,2.0,29.5,2012.0,29.0,892.8,1.104165431283333,-0.3071666666666665,1.1291666666666664,-0.008833333333333618,0.0,240478263.23499995,-7.457599999999998,0.8250000000000007,1.6074750216243325,-0.7931784105605619,7.64983734878127,120.81202287293478,58.37038138094547,62.44164149198932,-65.18797712706521
1.0,3.0,29.5,2012.0,29.0,887.9666666666667,1.1458320424000001,-0.5654999999999999,0.257,1.0395,0.0,240511001.97333333,-7.4569999999999945,0.8250000000000007,1.6076938634581108,-1.4619255027320797,3.488975763831392,108.05562098601588,58.37386405147128,49.681756934544595,-59.94437901398415
1.0,4.0,29.5,2012.0,29.0,883.2,1.1874986534833332,-2.5846666666666676,-0.8378333333333337,2.0421666666666662,0.0,240543736.81500006,-7.4569999999999945,0.8250000000000007,1.6079126792446534,-6.682392497298512,6.682392497298512,-62.429454957843895,58.37734562024285,-120.80680057808672,-104.42945495784393
1.0,5.0,29.5,2012.0,29.0,878.35,1.2291652646333333,-3.4411666666666667,-0.3023333333333333,1.9791666666666659,0.0,240576467.7566667,-7.4569999999999945,0.8250000000000007,1.6081314689616764,-8.899167980207094,8.899167980207094,-8.596844849250946,58.380826087328856,-66.97767093657978,-116.59684484925093
1.0,6.0,29.5,2012.0,29.0,873.5833333333334,1.2708318753999994,-3.1854999999999993,0.14183333333333334,2.3545000000000003,0.0,240609194.78666666,-7.4569999999999945,0.8250000000000007,1.6083502325311954,-8.240202209252363,8.240202209252363,104.219367311264,58.38430545191208,45.83506185935194,-123.78063268873603
1.0,7.0,29.5,2012.0,29.0,868.75,1.3124984863833336,-2.903500000000001,-0.6220000000000001,1.715166666666667,0.0,240641917.90500006,-7.4569999999999945,0.8250000000000007,1.6085689699532095,-7.512748691018272,7.512748691018272,-91.2128278996654,58.38778371441624,-149.6006116140816,-109.21282789966537
1.0,8.0,29.5,2012.0,29.0,863.9,1.3541650974833332,-2.3601666666666663,-0.6218333333333333,1.562666666666666,0.0,240674637.11666667,-7.4569999999999945,0.8250000000000007,1.6087876812611412,-6.108550563561859,6.108550563561859,-106.85207757437897,58.39126087579594,-165.24333845017492,-106.85207757437897
1.0,9.0,29.5,2012.0,29.0,859.1666666666666,1.3958317085833334,-2.3066666666666666,-0.661666666666667,1.5325,0.0,240707352.40833333,-7.4569999999999945,0.8250000000000007,1.6090063663658651,-5.971735462211961,5.971735462211961,-105.65398329487655,58.39473693505748,-164.04872022993396,-105.65398329487655
