DOY,HOUR,MIN,year,SEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),R^2 Br,Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
1.0,0.0,29.5,2016.0,31.0,1.0115196723888888,0.008333333333333325,-0.5011111111111111,0.23777777777777778,0.0,788450168.561111,-31.594,-0.4640000000000002,0.230237198277778,5.270388827280158,0.23147005922046565,4.521476376821814,-10.51229878173902,79.36067392047272,-89.87297270221173,-10.51229878173902
1.0,1.0,29.5,2016.0,31.0,1.0649249079387755,0.11489795918367343,-0.6879591836734694,0.032653061224489806,0.0,788462957.746939,-31.594877551020428,-0.4639999999999998,3.1746240720816314,5.270474316490236,3.191623367430048,3.486407815108708,-0.8060448319963929,79.36084255483553,-80.16688738683195,-0.8060448319963929
1.0,2.0,29.5,2016.0,31.0,1.0962849157058825,0.15941176470588236,-0.6823529411764705,0.06294117647058824,0.0,788470466.1882353,-31.595235294117657,-0.4640000000000002,4.404632144176469,5.270524506605855,4.428217816195562,4.428217816195562,2.739989587928381,79.36094155637113,-76.62095196844272,2.739989587928381
1.0,3.0,29.5,2016.0,31.0,1.125369844,0.24,-0.58,0.29,0.0,788477429.1,-31.596,-0.46399999999999997,6.631430999,5.270571050133694,6.666940606681773,6.666940606681773,11.84046776069512,79.36103336359201,-67.5205656028969,11.84046776069512
1.0,4.0,29.5,,,,,,,,,,,,,,,,,,
1.0,5.0,29.5,,,,,,,,,,,,,,,,,,
1.0,6.0,29.5,,,,,,,,,,,,,,,,,,
1.0,7.0,29.5,2016.0,32.0,1.3180298007142857,0.24285714285714285,-0.5714285714285714,-0.04285714285714286,0.0,788523527.7142857,-31.598999999999997,-0.46499999999999997,6.711160682428571,5.270879195951112,6.747097221513722,6.747097221513722,12.35615617574913,79.36164114098541,-67.00548496523628,12.35615617574913
1.0,8.0,29.5,2016.0,32.0,1.359110859414634,0.1746341463414635,-0.20829268292682937,-0.16682926829268296,0.0,788533352.0609756,-31.599439024390232,-0.46499999999999997,4.825996577121951,5.270944866717755,4.851838547420267,5.06867968716242,30.733483630267873,79.36177065905993,-48.62828702879207,30.733483630267873
1.0,9.0,29.5,2016.0,32.0,1.397157153744186,0.23279069767441857,-0.02488372093023256,-0.15651162790697673,0.0,788542449.0255815,-31.599999999999987,-0.4649999999999999,6.433291798186044,5.271005675304693,6.467740420943206,6.467740420943206,74.09645580603268,79.36189058504883,-5.265434779016124,74.09645580603268
1.0,10.0,29.5,2016.0,32.0,1.4375237085666666,0.18566666666666676,-0.010333333333333335,-0.145,0.0,788552099.038333,-31.60083333333338,-0.4649999999999999,5.131112642166667,5.271070180737527,5.158588430506702,5.158588430506702,75.22101021387863,79.36201779899285,-4.141007585114208,75.22101021387863
1.0,11.0,29.5,2016.0,32.0,1.4791903266833335,0.13266666666666665,-0.02850000000000001,-0.05783333333333332,0.0,788562057.98,-31.60133333333338,-0.4649999999999999,3.666492484849999,5.271136751203212,3.686125609046457,3.686125609046457,69.12067999905483,79.36214908234429,-10.241469083289482,69.12067999905483
1.0,12.0,29.5,2016.0,32.0,1.5208569444999998,0.1341666666666667,-0.07933333333333331,0.02166666666666668,0.0,788572015.0266665,-31.602000000000032,-0.4649999999999999,3.7080465271333325,5.271203309001788,3.727902162403599,3.727902162403599,49.09039360448646,79.36228033751293,-30.27188673302648,49.09039360448646
1.0,13.0,29.5,2016.0,32.0,1.5625235623166664,0.1686666666666667,0.02633333333333334,-0.021833333333333347,0.0,788581970.1683334,-31.60285000000002,-0.4649999999999999,4.661662903950001,5.271269854066404,4.686624909674962,4.686624909674962,89.42413184665448,79.36241156436887,10.061720282285599,89.42413184665448
1.0,14.0,29.5,2016.0,32.0,1.604190180433333,0.15866666666666676,0.018166666666666675,0.035666666666666694,0.0,788591923.3999999,-31.603350000000013,-0.4657000000000002,4.385383585783333,5.271336386363641,4.408866186824122,4.408866186824122,86.27112131043994,79.36254276284816,6.908578547591774,86.27112131043994
1.0,15.0,29.5,2016.0,32.0,1.6458567985499997,0.14833333333333337,-0.08133333333333333,0.046666666666666655,0.0,788601874.7333333,-31.604000000000028,-0.4660000000000003,4.099884094866668,5.271402905971483,4.121837919603269,4.121837919603269,50.8264422675812,79.3626739331065,-28.536231665525317,50.8264422675812
1.0,16.0,29.5,2016.0,32.0,1.6875234166333333,0.1451666666666667,-0.10999999999999997,-0.016333333333333335,0.0,788611824.1666666,-31.604850000000013,-0.4660000000000003,4.012463650483334,5.271469412878791,4.0339493612128186,4.0339493612128186,42.055120667232046,79.36280507512396,-37.307684407891905,42.055120667232046
1.0,17.0,29.5,2016.0,32.0,1.7291900344166669,0.11716666666666668,-0.1288333333333333,-0.03833333333333332,0.0,788621771.6850001,-31.605366666666672,-0.4660000000000003,3.2386129959333334,5.271535906985298,3.2559549355224515,3.2559549355224515,31.584461456219106,79.36293618870468,-47.77847473248555,31.584461456219106
