DOY,Magnitude,angle
1.0,2.5078706265331836,-24.543618211415737
2.0,4.541630835089871,1.6856385744483444
3.0,4.9716175992667555,-48.50165508940374
4.0,3.914020614745108,-9.0139646841652
5.0,5.051086551322888,-39.568835367157924
6.0,2.9438855502814016,-93.74665503490212
7.0,5.663325545378717,-16.468816331716447
8.0,4.72444686074928,72.29159179621821
9.0,2.4802768034247316,74.44604757522006
10.0,4.6797118296168385,98.60135201643051
11.0,5.136988254602134,90.74973743607651
12.0,4.373250353083392,97.52870813576652
13.0,3.456865285391196,90.88800733724354
14.0,3.1281589495598725,83.4060267266834
15.0,3.3414973413083273,83.3535255466182
16.0,3.548848781631315,75.13699681543378
17.0,2.4155839172985374,83.08400315376434
18.0,2.6313117210314863,84.98366084478772
19.0,2.8327127930130978,85.86501688020299
20.0,2.5320725576746543,61.480713166690144
21.0,7.402470598878531,-80.31303817648184
22.0,3.281099067956403,-98.68322906154572
23.0,3.4428979582627353,-77.39185398933697
24.0,3.628691611888667,-77.21171311686572
25.0,2.7436098378926,-94.73976941524627
26.0,5.2344068438183635,10.563127875965172
27.0,3.847004857394524,-46.769790398463435
28.0,5.906114475316572,-36.72089014658885
29.0,3.9281034687360994,-69.30507720904099
30.0,5.128946845670596,-57.12997597680241
31.0,3.9435072619263223,-18.124027757154604
32.0,6.322738647305868,12.73591172006141
33.0,4.623700944745464,-58.0781124316903
34.0,2.7584349891879083,-78.89923721608824
35.0,2.1794212157672113,-71.91420835059094
36.0,1.8883120070423818,-3.7498941026108166
37.0,3.9590059208915895,94.28223088568097
38.0,3.9997348881180943,86.57837501698111
39.0,5.973187534414259,102.9433652841516
40.0,2.7327590032167888,66.05920407584813
41.0,3.419449037701962,96.47171377444091
42.0,2.6736034361233294,73.01216019531708
43.0,3.141977133970607,96.13458853295387
44.0,2.273756736575622,73.45348833483025
45.0,2.7710467145991577,76.37108121944418
46.0,3.5851158343957725,-80.52685533949094
47.0,5.445632534531086,-42.4160099763971
48.0,5.887740358205899,-82.81208988896817
49.0,3.1999454263772673,-73.3831100288262
50.0,2.8295296678327775,-84.29832480914324
51.0,2.7610584978009105,-97.0070167274839
52.0,4.201906092744783,-86.39554518461429
53.0,3.3335585336964737,-95.11042985625903
54.0,3.2630251604738874,-15.911769136590625
55.0,4.441746919476236,81.61126177815665
56.0,4.243222948474799,88.92263736080994
57.0,4.667034700632066,114.58281175029062
58.0,2.4720108381593233,-20.648545274048008
59.0,4.024362295214493,-49.108933401496415
60.0,6.308627896621397,-74.41394012675042
61.0,4.311434151827047,-79.16915275003446
62.0,1.900448953294731,-76.24090223495533
63.0,2.5945828113521743,16.53958264377826
64.0,4.302848859509135,85.66235316813876
65.0,3.6197702620360235,74.73439691435593
66.0,4.383106593991496,81.65858145766059
67.0,2.255011457858209,54.349341147497306
68.0,1.8386395135325213,65.1106096307704
69.0,2.2936766574501695,76.93821789580919
70.0,3.318751215784874,88.35083029365202
71.0,2.9811423087413136,77.56973947313944
72.0,2.7103038672770876,68.87413434660081
73.0,3.3785296170944177,70.66674492275614
74.0,3.449603869960987,-19.5817400775219
75.0,4.936622672148954,29.58676748006495
76.0,7.294304266126205,12.586570224757786
77.0,5.096968719631304,-92.98567084110671
78.0,3.2879483596126273,-60.009322882267575
79.0,4.421771975450952,-53.80965715939088
80.0,4.753219099255481,-67.78761178517458
81.0,5.057318286533318,9.552532550013694
82.0,3.1772575626713144,76.98862100753952
83.0,3.233731031156452,76.1277866341608
84.0,2.9283411375958157,58.942957637823866
85.0,3.0343120912419566,14.410708576948345
