DOY,Magnitude,angle
1.0,3.4115802014292593,85.84475522055287
2.0,2.9178715539098605,94.23150676583697
3.0,3.0764379119856873,89.03836018239576
4.0,2.3596985612661716,79.15709124563361
5.0,4.958654966018052,87.17473168248392
6.0,5.084240841100974,92.71841245790988
7.0,6.507279643178425,130.37851319624
8.0,5.254339681051081,104.46698066576845
9.0,3.5659997175704228,-107.07494171303634
10.0,3.5636288863399077,-100.60533045517205
11.0,4.408425417046212,-95.54804546644858
12.0,4.657032352023897,-98.71508859238774
13.0,3.637767426369075,-95.06603176800226
14.0,3.9046744464471033,-80.37572349632225
15.0,4.217085733687862,-77.6186508148931
16.0,4.6906501988766856,-33.18163837714443
17.0,5.501967775978574,-60.20056891319597
18.0,4.260588505025623,-108.1254698845534
19.0,3.5303548140693155,-24.222250747493394
20.0,4.47643477388012,-91.76667718274345
21.0,3.7097407051047364,-101.77802365212894
22.0,3.141202383282548,-81.71740231963285
23.0,3.159849251699053,-80.04046691628272
24.0,2.5552513986077408,47.303047350053625
25.0,2.1334630581067464,39.135021545401486
26.0,4.0459833403884975,73.59323458438848
27.0,3.959945549681312,91.38128996543401
28.0,2.048543924663465,81.73939754590255
29.0,6.483416441090771,99.04680916529682
30.0,4.708940097840538,93.45809473418045
31.0,4.441818913461354,96.01223933405132
32.0,2.561603313558168,81.3117453313671
33.0,2.37269592674966,77.31236755926537
34.0,2.0383888966549417,84.09393484352377
35.0,2.2309126051473007,71.50748229376428
36.0,1.3112123436431433,85.31097125763668
37.0,2.55731171356879,80.77090078269069
38.0,2.820289703051102,67.96936666698525
39.0,3.724568007595032,-100.36424376645884
40.0,4.161104181674931,-100.36225298072335
41.0,3.918277941191281,-98.32611814800643
42.0,4.625985771454822,-86.68788941919988
43.0,5.434449925605544,-87.72544418910907
44.0,4.598590409141292,-133.94592870077358
45.0,4.78421986302212,-77.56533189225352
46.0,3.5761214698397423,48.89859618151354
47.0,3.97289913817112,24.709941875357842
48.0,3.859949323396101,-92.093770774715
49.0,5.469705855294664,-30.264648429828384
50.0,3.9324125715442504,-63.98976671682414
51.0,2.097259882150959,-77.99533719498126
52.0,3.9988595937664186,34.0741479304449
53.0,4.341615948752993,90.93987317330327
54.0,3.2875795431517436,83.73198429808774
55.0,4.3529144432452345,85.86652696510816
56.0,3.5332593827893497,84.43329985699368
57.0,2.7984138088928034,77.2979568194409
58.0,2.073772828419975,88.57937822780688
59.0,1.549033548059875,82.02479438429319
60.0,2.0889297258417256,63.446616279624614
61.0,2.669356410848137,68.30710569209583
62.0,2.9726618788386068,81.20141394191818
63.0,2.3517277100000915,-67.02986498207096
64.0,3.517644583614009,-98.47288664678376
65.0,2.3617003035872917,-100.56524204384286
66.0,2.66995855830438,-101.45238991975077
67.0,2.3328468255247317,-102.58437852078436
68.0,2.8049980421279304,-95.5972154736348
69.0,4.271657546097482,-81.85377172600246
70.0,4.093746332526376,8.18582373701931
71.0,2.970631471069799,65.33759688536323
72.0,4.439794186345465,-4.067864216836833
73.0,3.2429469529104926,-83.71901916277933
74.0,4.7761593712836,-58.110008728043574
75.0,3.9531781608294208,-82.86569396292768
76.0,3.41240533381785,-101.22467412188199
77.0,3.1639690015727124,-66.14617988651173
78.0,3.847913938772963,37.10276926248123
79.0,4.390351210494679,82.19271151249693
80.0,3.655302763457976,87.84663731844954
81.0,2.784316572566472,42.132315025901256
82.0,2.44724722599992,64.92825543910928
83.0,2.6435787325204934,63.386779449112574
84.0,2.973412297385673,68.48192056183858
85.0,4.599631434967865,-44.06547359568497
86.0,5.10961250336056,-28.11155625474192
87.0,4.6117578474191365,7.805708607621196
88.0,3.5920104934437966,-58.291335848604014
89.0,4.939900180983927,-87.54872796726197
90.0,3.5678179258136877,-96.62338073899708
91.0,2.000761886285673,-95.78830227529417
92.0,3.432148199918391,-107.21954343751311
93.0,3.953488767223743,-38.88141666576333
94.0,4.41470570295007,55.78046057958411
95.0,2.3867867096449764,73.90669597984026
96.0,3.346076229002767,39.144773366898896
97.0,3.853657618591488,-65.89832539218708
98.0,4.331171153692541,-51.61071140766644
99.0,3.9294962108763944,12.318701916409337
100.0,3.5301175380089527,68.57356985799866
101.0,6.133466680500566,-50.69189073651726
102.0,3.563993208653127,-95.3957232233341
103.0,3.661922168506527,-77.3046554335587
104.0,4.456789579740568,80.44148626135626
105.0,5.094073861144075,60.150820226637094
106.0,3.9533439070973433,82.0246587830311
107.0,3.0938723588521913,78.6815730710422
108.0,1.6913188046530974,70.0824132789769
109.0,2.527308082439015,-5.521450601375111
110.0,2.5307227483850983,37.33769279634677
111.0,2.2152632257570755,-31.69536650698328
112.0,2.5924469078358467,35.79520267251529
113.0,3.814308910352701,16.171632486694506
114.0,4.645605999287928,-87.24932607328631
115.0,3.2747496249990777,-100.6087225328986
116.0,3.3078302097105095,-91.75091453169463
117.0,5.824105394118845,101.88118550604926
118.0,5.435300495223941,33.13591432398135
119.0,4.684599013804671,101.6050617756921
120.0,4.603976444270511,-39.50688705760127
121.0,3.107334406041903,88.67287037403312
122.0,1.5539775613021454,75.07712563704449
123.0,4.097834834019501,-22.13442032925073
124.0,4.022091379708172,-63.68203189901759
125.0,4.8031873488838,-81.09956100216088
126.0,4.006515230363374,-59.12017341837158
127.0,3.157688057087731,-100.31229648812456
128.0,6.85532067555687,-126.82513735589694
129.0,3.840231624353643,-16.83406366092431
130.0,3.390305410846594,79.9003810810885
131.0,3.150010499468864,15.4883225169147
132.0,3.8680623405149492,84.88092079301575
133.0,3.375427940180233,67.34781494307573
